month,target,sunshine,precipitation,windspeed,radiation
01,21.7,28531.41,0.0,15.2,8.63
01,34.4,27994.63,0.0,8.3,7.53
01,20.5,14620.22,0.012,6.8,4.89
01,35.6,482.2,0.087,10.0,2.41
01,25.9,28532.82,0.0,9.3,7.96
01,30.3,0.0,1.969,14.8,0.74
01,23.2,28554.94,0.0,10.4,8.44
01,30.2,3171.0,0.0,7.9,2.32
01,25.8,28477.93,0.0,12.4,8.25
01,32.6,28292.29,0.0,9.4,7.78
01,29.0,28218.5,0.0,5.4,7.52
01,18.2,28489.4,0.0,12.7,8.37
01,33.5,26032.91,0.02,13.0,7.44
01,31.6,10244.34,0.728,14.5,3.41
01,19.6,0.0,0.181,7.3,2.69
01,29.5,9146.33,0.039,6.8,3.41
01,31.2,28258.9,0.0,13.8,6.89
01,1.8,28693.16,0.0,8.8,7.99
01,40.2,0.0,0.031,13.5,2.24
01,14.8,28610.02,0.0,9.9,8.66
01,24.5,28598.76,0.0,12.1,8.34
01,22.1,21681.23,0.752,15.2,5.49
01,31.1,0.0,0.118,5.2,1.86
01,30.2,20252.65,0.008,11.2,6.89
01,31.5,26318.74,0.067,5.8,7.42
01,36.1,28238.62,0.0,15.8,7.13
01,20.7,28223.41,0.0,13.8,6.96
01,19.7,3276.28,0.0,9.4,4.31
01,25.4,0.0,0.299,18.6,2.98
01,40.1,17521.39,0.059,12.3,3.33
01,37.5,28567.59,0.024,14.0,7.93
01,13.3,28677.31,0.0,11.6,8.18
01,6.2,0.0,0.303,12.5,2.13
01,30.5,28464.23,0.0,13.4,6.82
01,30.1,28513.67,0.0,10.8,7.44
01,25.1,26507.19,0.0,6.4,6.88
01,5.2,28601.66,0.0,10.3,8.42
01,25.7,27450.87,0.0,8.8,8.13
01,31.7,25899.51,0.0,9.0,6.76
01,33.8,7813.38,0.713,12.4,3.07
01,37.3,0.0,0.083,12.4,1.46
01,37.9,26967.41,0.0,9.8,5.5
01,37.0,0.0,0.815,18.1,0.56
01,14.0,28637.41,0.0,11.5,8.81
01,30.3,15698.95,0.0,9.3,4.63
01,26.1,28239.0,0.0,5.7,7.95
01,16.9,28712.19,0.0,15.1,8.77
01,20.7,28694.06,0.0,10.4,8.34
01,28.1,7105.43,0.264,11.6,3.75
01,6.9,28608.7,0.0,17.6,9.08
01,38.6,19132.38,0.024,15.2,6.04
01,25.1,28693.88,0.0,7.5,8.66
01,34.7,392.65,0.224,14.0,1.61
01,43.4,22680.62,0.0,13.9,4.91
01,16.2,0.0,0.783,14.7,1.3
01,21.6,28523.88,0.0,11.0,7.58
01,8.9,28336.48,0.075,9.2,8.71
01,32.7,20901.41,0.0,5.9,5.86
01,41.3,28377.44,0.028,10.5,7.44
01,24.2,28693.38,0.0,11.6,8.7
01,44.8,0.0,0.661,16.7,1.16
01,20.3,27233.69,0.0,10.1,7.6
01,24.9,28602.4,0.0,8.9,8.75
01,26.8,0.0,0.72,14.9,2.07
01,39.4,10726.7,0.118,8.4,2.48
01,36.2,604.12,0.378,6.9,3.53
01,25.6,28545.74,0.004,8.0,6.09
01,41.7,25805.57,0.0,10.5,5.91
01,13.9,28510.32,0.0,8.5,8.02
01,20.0,28738.91,0.0,14.0,8.38
01,24.0,28660.16,0.0,14.3,7.88
01,29.2,28696.93,0.0,7.3,7.12
01,17.7,28746.93,0.0,10.3,8.54
01,25.6,23848.68,0.0,12.5,6.28
01,7.1,28777.55,0.0,12.9,8.58
01,38.4,0.0,0.5,12.6,1.23
01,18.1,28634.51,0.0,11.4,7.97
01,37.7,10471.07,0.114,15.2,4.35
01,18.3,0.0,0.886,24.2,1.02
01,35.0,28358.82,0.0,9.7,7.64
01,37.4,0.0,0.248,7.7,1.02
01,31.0,23769.6,0.012,6.8,6.02
01,21.6,28716.62,0.0,10.0,8.43
01,39.7,8352.5,0.366,5.1,3.69
01,14.8,25088.68,0.0,10.2,5.66
01,28.7,28520.58,0.0,10.0,8.28
01,23.7,28497.75,0.0,8.0,8.34
01,25.4,27412.1,0.0,10.9,6.21
01,32.6,0.0,0.72,10.3,0.89
01,23.3,28297.35,0.087,16.5,7.37
01,20.9,25559.61,0.0,5.1,6.75
01,30.0,28450.56,0.0,10.4,7.27
01,31.9,28652.42,0.0,8.6,8.21
01,28.5,28297.08,0.0,6.6,6.8
01,32.7,19976.88,0.0,6.8,4.71
01,21.8,20549.98,0.004,11.7,5.68
01,19.9,2710.23,0.024,9.8,3.84
01,24.3,27796.73,0.0,11.7,8.34
01,12.7,0.0,0.74,11.3,1.7
01,32.5,961.03,0.055,5.7,2.37
01,42.1,24884.57,0.0,10.7,6.09
01,25.6,0.0,1.291,14.9,0.91
01,48.3,4167.34,0.114,14.0,4.16
01,17.9,28670.85,0.0,8.7,8.26
01,28.6,28599.62,0.0,11.1,8.24
01,23.0,187.07,0.524,14.1,2.82
01,36.0,0.0,0.059,6.6,1.17
01,40.8,1065.4,0.106,12.7,3.73
01,30.2,0.0,0.417,11.6,2.18
01,37.6,28634.04,0.0,11.1,8.18
01,1.5,28680.88,0.0,12.1,9.18
01,23.8,28559.59,0.0,14.9,7.91
01,19.8,3853.99,0.228,19.3,3.38
01,29.2,28693.34,0.0,13.6,8.54
01,23.0,28568.35,0.0,11.6,8.49
01,7.2,28795.75,0.0,10.2,8.87
01,-0.1,17519.71,0.244,13.8,6.15
01,26.5,16460.01,0.339,8.1,5.17
01,32.3,27989.65,0.0,10.3,7.25
01,35.5,0.0,0.89,11.8,0.62
01,14.7,25309.22,0.0,9.8,8.01
01,33.5,15075.68,0.063,13.3,5.0
01,39.0,0.0,0.0,7.3,1.98
01,28.8,5422.19,0.055,8.4,3.12
01,21.1,0.0,0.0,11.1,3.03
01,34.5,0.0,0.354,5.8,1.0
01,31.3,0.0,0.929,13.1,1.07
01,32.0,28350.88,0.004,9.3,8.06
01,19.2,28390.81,0.0,7.8,7.15
01,34.6,0.0,0.315,7.6,0.76
01,28.6,28193.76,0.0,11.2,7.27
01,26.8,22308.84,0.024,6.9,6.14
01,35.8,18798.42,0.0,10.2,4.77
01,23.6,28254.93,0.0,7.5,7.3
01,34.7,19870.59,0.205,17.0,6.11
01,22.1,28581.42,0.0,8.5,8.29
01,28.5,28331.46,0.0,7.3,8.1
01,27.7,28206.73,0.0,17.0,7.34
01,26.3,28426.23,0.0,13.8,7.25
01,34.6,0.0,0.488,9.1,0.65
01,23.9,26112.43,0.008,6.4,5.71
01,11.6,23186.34,0.0,10.3,7.16
01,9.0,28657.93,0.0,13.4,8.64
01,11.7,28582.65,0.0,15.6,7.88
01,32.5,28447.35,0.0,10.8,7.47
01,20.3,28552.13,0.0,13.6,8.42
01,23.3,28600.6,0.0,13.4,8.0
01,35.2,9990.36,0.433,12.6,4.58
01,35.2,24263.33,0.0,14.0,6.37
01,39.9,28439.59,0.0,14.8,8.04
01,24.8,23001.44,0.083,6.5,5.05
01,34.2,0.0,0.661,8.6,0.48
01,27.1,15749.91,0.346,8.3,4.53
01,6.3,28673.07,0.0,15.8,8.93
01,27.8,28372.25,0.012,7.4,7.24
01,41.3,25424.62,0.0,8.5,6.84
01,38.5,27072.51,0.067,10.9,6.09
01,25.7,28503.97,0.0,12.3,8.28
01,15.3,28604.9,0.0,9.7,8.32
01,25.6,28582.78,0.0,11.5,8.12
01,32.0,22897.69,0.0,11.4,6.17
01,33.2,28448.04,0.047,12.7,7.6
01,-0.3,28547.2,0.0,10.8,8.67
01,39.5,27599.26,0.39,19.0,5.97
01,32.0,28225.41,0.0,14.0,8.0
01,30.5,22525.99,0.039,7.1,7.24
01,41.9,0.0,0.126,4.4,1.21
01,46.1,23819.02,0.047,13.4,5.62
